date_time,traffic_volume,temp_f,precip_mm,snow_mm,weather_main,holiday
2018-03-23 18:00:00,2726.0,43.2,0.0,0.0,Clouds,None
2018-10-02 20:00:00,2916.0,27.0,0.0,0.0,Clouds,None
2018-01-28 05:00:00,2278.0,28.5,0.0,0.7,Snow,None
2018-10-29 14:00:00,2779.0,22.6,0.0,0.0,Clear,None
2018-10-22 18:00:00,3549.0,19.5,0.0,0.0,Clouds,None
2018-08-29 04:00:00,2964.0,49.7,0.0,0.0,Clear,None
2018-10-09 01:00:00,2518.0,,0.0,5.69,Snow,None
2018-09-18 03:00:00,2751.0,27.2,0.0,0.0,Clear,None
2018-11-17 04:00:00,2521.0,5.6,0.0,0.0,Clouds,None
2018-07-21 01:00:00,2225.0,55.9,0.47,0.0,Rain,None
2018-09-02 18:00:00,2704.0,45.2,0.0,0.0,Clouds,None
2018-10-16 15:00:00,3112.0,10.7,0.0,0.0,Clear,None
2018-10-10 04:00:00,2764.0,26.5,0.0,0.0,Clouds,None
2018-10-21 22:00:00,2457.0,12.5,0.0,0.0,Clear,None
2018-06-22 12:00:00,2666.0,58.5,0.0,0.0,Clear,None
2018-09-10 21:00:00,2709.0,49.8,0.0,0.0,Clear,None
2018-06-03 16:00:00,2946.0,59.2,0.0,0.0,Clear,None
2018-12-25 18:00:00,3089.0,-9.2,0.0,0.0,Clear,Christmas Day
2018-01-12 03:00:00,1882.0,7.2,0.0,2.61,Snow,None
2018-08-31 08:00:00,3394.0,44.6,0.0,0.0,Clouds,None
2018-01-10 23:00:00,2508.0,14.6,0.0,0.0,Clouds,None
2018-03-14 02:00:00,2346.0,32.3,0.0,0.0,Clouds,None
2018-01-04 08:00:00,3010.0,12.5,0.0,0.0,Clear,None
2018-06-23 22:00:00,2066.0,63.4,1.51,0.0,Rain,None
2018-06-08 11:00:00,2641.0,60.2,0.93,0.0,Drizzle,None
2018-10-31 06:00:00,2912.0,11.1,0.0,0.0,Mist,None
2018-12-30 23:00:00,2064.0,21.2,6.83,0.0,Rain,None
2018-04-30 06:00:00,2423.0,44.8,3.08,0.0,Rain,None
2018-10-07 03:00:00,2605.0,29.3,0.0,0.0,Clouds,None
2018-10-01 22:00:00,2763.0,30.3,0.0,0.0,Clouds,None
2018-02-06 15:00:00,2616.0,20.1,0.0,0.0,Clouds,None
2018-08-16 18:00:00,3520.0,57.4,0.0,0.0,Clear,None
2018-05-06 01:00:00,2344.0,57.5,0.0,0.0,Clouds,None
2018-05-07 20:00:00,2247.0,53.6,3.18,0.0,Thunderstorm,None
2018-01-24 02:00:00,2536.0,21.3,0.0,0.0,Clouds,None
2018-04-11 20:00:00,2424.0,42.4,0.0,0.0,Clear,None
2018-01-16 00:00:00,2615.0,7.6,0.0,0.0,Clouds,None
2018-06-01 22:00:00,2572.0,64.6,0.0,0.0,Clear,None
