date,category,revenue,cost,profit
2024-01-01,B,2732,564,2168
2024-01-02,B,3928,498,3430
2024-01-03,B,3330,1973,1357
2024-01-04,A,588,1556,-968
2024-01-05,A,1447,1297,150
2024-01-06,A,3781,1905,1876
2024-01-07,A,3273,923,2350
2024-01-08,A,4689,2570,2119
2024-01-09,B,1767,1478,289
2024-01-10,A,1737,2399,-662
2024-01-11,B,4214,2328,1886
2024-01-12,A,3653,1804,1849
2024-01-13,C,1100,972,128
2024-01-14,B,950,2209,-1259
2024-01-15,C,1488,1086,402
2024-01-16,B,3812,1466,2346
2024-01-17,C,1467,2597,-1130
2024-01-18,A,921,2695,-1774
2024-01-19,A,554,2331,-1777
2024-01-20,A,1724,2699,-975
2024-01-21,B,2872,363,2509
2024-01-22,C,3826,2663,1163
2024-01-23,A,3247,2306,941
2024-01-24,C,4189,2047,2142
2024-01-25,C,4906,1087,3819
2024-01-26,A,2290,1706,584
2024-01-27,A,1016,2684,-1668
2024-01-28,C,4086,1828,2258
2024-01-29,A,2975,1064,1911
2024-01-30,A,1540,1143,397
2024-01-31,A,4500,1174,3326
2024-02-01,B,835,747,88
2024-02-02,C,3668,2229,1439
2024-02-03,C,3438,1454,1984
2024-02-04,B,3115,1205,1910
2024-02-05,C,2989,1093,1896
2024-02-06,A,1061,1979,-918
2024-02-07,C,3089,2633,456
2024-02-08,A,3948,1063,2885
2024-02-09,B,1126,276,850
2024-02-10,A,3965,1878,2087
2024-02-11,C,2963,1542,1421
2024-02-12,C,2601,871,1730
2024-02-13,C,2047,2073,-26
2024-02-14,B,1277,920,357
2024-02-15,B,4860,2502,2358
2024-02-16,C,111,2299,-2188
2024-02-17,A,4499,2135,2364
2024-02-18,B,3464,1845,1619
2024-02-19,C,3122,237,2885
2024-02-20,C,3471,1130,2341
2024-02-21,B,2930,990,1940
2024-02-22,B,142,2370,-2228
2024-02-23,B,1043,2680,-1637
2024-02-24,A,2490,2613,-123
2024-02-25,A,2645,575,2070
2024-02-26,C,2511,385,2126
2024-02-27,B,1104,2795,-1691
2024-02-28,A,120,1128,-1008
2024-02-29,B,506,2597,-2091
2024-03-01,C,1114,2997,-1883
2024-03-02,A,4531,2863,1668
2024-03-03,A,1938,2633,-695
2024-03-04,A,3288,211,3077
2024-03-05,C,814,643,171
2024-03-06,B,4246,1988,2258
2024-03-07,A,3954,2256,1698
2024-03-08,C,4519,109,4410
2024-03-09,B,4984,1951,3033
2024-03-10,C,240,2308,-2068
2024-03-11,B,4665,455,4210
2024-03-12,C,4982,713,4269
2024-03-13,B,1063,1182,-119
2024-03-14,A,472,1149,-677
2024-03-15,B,3735,591,3144
2024-03-16,C,2641,1387,1254
2024-03-17,C,3710,1047,2663
2024-03-18,B,1792,1190,602
2024-03-19,A,205,917,-712
2024-03-20,A,1781,2116,-335
2024-03-21,B,4197,481,3716
2024-03-22,B,4116,789,3327
2024-03-23,C,2736,1423,1313
